"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price USD"
"1","1","SAM8857-ND","SMA-J-P-H-ST-EM1","CONN SMA JACK STR 50OHM EDGE MNT","LORA","1","0","4.33000","4.33"
"2","1","679-2453-ND","MJTP1250","SWITCH TACTILE SPST-NO 0.05A 12V","S1","1","0","0.27000","0.27"
"3","1","311-10KARCT-ND","RC0805JR-0710KL","RES SMD 10K OHM 5% 1/8W 0805","R6","1","0","0.10000","0.10"
"4","2","D5V0L1B2WS-7DICT-ND","D5V0L1B2WS-7","TVS DIODE 5V 14V SOD323","D1 D2","2","0","0.30000","0.60"
"5","2","1276-2926-1-ND","CL21B105KAFNFNE","CAP CER 1UF 25V X7R 0805","C3 C5","2","0","0.13000","0.26"
"6","10","311-100ARCT-ND","RC0805JR-07100RL","RES SMD 100 OHM 5% 1/8W 0805","R1 R2 R3 R4","10","0","0.03600","0.36"
"7","2","SAM10027-ND","SSW-108-01-F-D","CONN RCPT 16POS 0.1 GOLD PCB","J2L J2R","2","0","1.68000","3.36"
"8","1","SAM10033-ND","SSW-113-01-F-D","CONN RCPT 26POS 0.1 GOLD PCB","J1","1","0","2.55000","2.55"
